hole_id;date;easting_x;northing_y;elevation;elev_topo;eoh;is_old;is_twin;inc_samp
F09-196;44481;404571.615;113746.711;580.248;601.1430054;23.6;1;0;30
F09-197;44250;404607.034;113774.441;561.028;586.7919922;16;1;0;19
F09-198;44481;404632.058;113751.45;560.678;584.1539917;27.25;1;0;27
F09-199;44250;404655.815;113773.742;552.389;575.3339844;14.3;1;0;18
F09-200;44480;404681;113749.913;550.233;573.0839844;28.5;1;0;36
F09-201;44250;404706.038;113775.972;540.35;563.2789917;10;1;0;11
F09-202;44480;404739.742;113745.737;543.686;563.4860229;30;1;0;34
F09-203;44250;404756.795;113774.549;540.185;556.1640015;18.7;1;0;19
F09-228;44481;404575.206;113699.407;591.734;606.1970215;24;1;0;25
F09-229;44250;404605.298;113718.114;575.394;592.6970215;15;1;0;16
F09-230;44481;404634.868;113684.341;574.34;594.5700073;18.3;1;0;21
F09-231;44250;404658.57;113720.748;562.384;581.6079712;5.6;1;0;7
F09-232;44480;404681.185;113697.628;561.815;582.8930054;25.7;1;0;29
F09-233;44250;404705;113726.424;550.951;571.875;13;1;0;16
F09-234;44480;404737.811;113695.289;552.96;572.8189697;20;1;0;24
F09-235G;44250;404752.496;113726.986;544.203;564.9890137;16;1;0;19
F10-004;44480;404587.795;113649.601;596.733;615.6370239;13.3;1;0;16
F10-005;44250;404611.276;113685.094;579.379;598.125;9;1;0;12
F10-006;44480;404635.131;113644.415;587.104;605.3790283;23;1;0;26
F10-007;44250;404654.538;113682.925;570.758;592.1859741;15;1;0;17
F10-008;44480;404681.4;113645.129;580.632;596.2719727;14;1;0;17
F10-009;44250;404706.743;113674.112;562.996;584.835022;12;1;0;15
F10-010;44480;404734.762;113651.088;575.761;587.2269897;12.7;1;0;16
F10-011;44250;404761.943;113678.163;565.562;574.5579834;17.85;1;0;24
E07-216i;45274;404308.198;114542.703;426.751;446.8479919;11;0;0;11
E07-214i;45274;404263.628;114543.814;439.953;454.5329895;15;0;0;15
E07-217i;45274;404301.974;114569.749;425.814;440.4899902;15;0;0;16
E07-214;45274;404232.288;114552.977;441.896;455.9039917;7.7;0;0;10
E07-215i;45274;404280.433;114575.35;425.295;440.5400085;15;0;0;16
E07-214R;45274;404231.385;114552.425;442.039;456.2980042;15;0;0;17
E07-213i;45274;404240.542;114570.447;430.043;447.3190002;15;0;0;20
E07-212i;45274;404203.832;114559.434;447.08;458.321991;15;0;0;16
